activity,x,y,z,alpha,beta,gamma,ts
string,float,float,float,float,float,float,datetime
S,,,,,,T
Jacks_in_pocket,2.31055423965,17.951275135,3.09016615524,141.798169585,-89.67308233,31.826396834,2013-06-22T03:13:33
Jacks_in_pocket,1.10881464386,8.36683723235,4.00579856132,58.7339987862,-34.4014293775,-15.5369830598,2013-06-22T03:13:33
Jacks_in_pocket,-0.0897825622559,-0.483329460144,3.29846177274,-6.16127117855,156.651003331,-25.0882273876,2013-06-22T03:13:33
Jacks_in_pocket,0.0426467170715,-1.92044900665,-1.88244134756,-29.4535822861,334.262764395,-24.0781482772,2013-06-22T03:13:33
Jacks_in_pocket,-0.482581272125,-0.479887795258,-2.13293440399,-19.4555769923,-0.232908196717,-52.5841647594,2013-06-22T03:13:33
Jacks_in_pocket,1.46794484722,0.524030888367,-0.401028778076,-7.72962177709,7.69391269434,-72.8438923661,2013-06-22T03:13:33
Jacks_in_pocket,2.9197288515,0.806696321869,-0.471507797186,48.891037079,69.9836618587,-60.8826123746,2013-06-22T03:13:33
Jacks_in_pocket,-0.337732071686,-0.905906053162,1.49458038635,0.808262388265,-26.1891275233,-59.5542566942,2013-06-22T03:13:33
Jacks_in_pocket,0.238671977997,-0.974888988495,-1.42484955526,-43.5274090521,9.49568671531,-40.0089327238,2013-06-22T03:13:33
Jacks_in_pocket,6.26472777288,36.1805763533,1.43322896881,-110.701001313,149.759902534,176.840263876,2013-06-22T03:13:33
Jacks_in_pocket,-1.56161803284,36.498707068,7.22644879837,49.2085794037,90.3796449091,-45.1700285663,2013-06-22T03:13:33
Jacks_in_pocket,-0.0245405670166,20.3454767952,-0.225204593658,136.225773411,-33.1834666296,52.7068998437,2013-06-22T03:13:33
Jacks_in_pocket,-0.319177017953,11.4822918869,6.46973129003,111.920797966,-98.8905933697,42.7842742251,2013-06-22T03:13:34
Jacks_in_pocket,0.569969614455,-0.359130249023,3.46934773357,143.23464033,-17.8011566187,12.0110899998,2013-06-22T03:13:34
Jacks_in_pocket,3.43148945635,-2.3921067337,2.21972406804,-48.1745570652,1.5154172728,41.2614630591,2013-06-22T03:13:34
Jacks_in_pocket,1.95037645434,-4.05323377304,1.79729725876,-160.583471086,-27.4772107007,90.5195203531,2013-06-22T03:13:34
Jacks_in_pocket,-4.79259302709,0.823306095886,-4.37989266205,-10.8216279238,-60.4370313237,33.6453206062,2013-06-22T03:13:34
Jacks_in_pocket,0.0701800361633,1.59408939285,-0.911143369293,-26.5657919654,-28.373877935,9.42801405479,2013-06-22T03:13:34
Jacks_in_pocket,2.28376905378,1.88707982101,0.824952109528,-28.072699036,-20.4880113117,23.6991274198,2013-06-22T03:13:34
Jacks_in_pocket,1.19725046768,1.06167879868,-0.38007951355,-87.2611991001,-3.89243131978,-14.6629852234,2013-06-22T03:13:34
Jacks_in_pocket,5.69236423076,17.9804544678,-3.83715648869,-101.136851342,-137.095297473,9.15718339382,2013-06-22T03:13:34
Jacks_in_pocket,12.2496338112,28.7431397027,14.9481980652,-11.5549785048,-88.3736320103,32.4724268615,2013-06-22T03:13:34
Jacks_in_pocket,11.3598886193,33.4806656532,1.00945527496,74.9163834962,57.1785495613,-39.328666373,2013-06-22T03:13:34
Jacks_in_pocket,1.48395626262,16.5692222267,4.22801064036,160.580629727,-57.0410817589,15.5299035687,2013-06-22T03:13:34
Jacks_in_pocket,-0.341772286987,9.27483795624,2.72325489695,50.3674336945,3.2337415366,-53.9703755572,2013-06-22T03:13:34
Jacks_in_pocket,1.35062901154,-1.04836105194,3.30384879954,31.2133736956,152.295951773,-52.6896980123,2013-06-22T03:13:34
Jacks_in_pocket,1.45986449881,-1.64915603104,-0.523881250763,-14.3471709365,254.441075641,-33.3446283582,2013-06-22T03:13:34
Jacks_in_pocket,0.568622912553,0.411503410339,-0.966209715216,-51.4508929422,-29.2793783113,-41.9493348255,2013-06-22T03:13:34
Jacks_in_pocket,1.20952078772,0.298826294708,-0.305410349274,0.417251934167,90.011791411,-40.3964025252,2013-06-22T03:13:34
Jacks_in_pocket,0.336385333252,0.386663568115,-0.499939234161,40.5187277982,43.801449902,-50.0929215616,2013-06-22T03:13:34
Jacks_in_pocket,-0.269796599579,-0.62683192215,-1.51956986618,-9.86856211003,-42.3102454363,-97.3685608452,2013-06-22T03:13:34
Jacks_in_pocket,8.32014989812,3.40739787521,7.05212077079,-182.735304526,-42.6677136318,83.433841127,2013-06-22T03:13:34
Jacks_in_pocket,-10.893318242,48.3937012196,6.19918672162,-16.169009492,173.465030275,-61.4410896223,2013-06-22T03:13:35
Jacks_in_pocket,0.435445436074,20.6631580125,3.14433526006,128.392666584,-0.766971600215,18.7207271848,2013-06-22T03:13:35
Jacks_in_pocket,-3.9653965727,13.922581929,1.70706607595,136.794646206,-142.269575581,26.0707279016,2013-06-22T03:13:35
Jacks_in_pocket,0.962918007594,3.01325242691,4.78810397204,75.9374011544,4.48206959799,0.449079815286,2013-06-22T03:13:35
Jacks_in_hand,-28.3820633063,17.8775037964,-10.7218340961,200.115567813,-83.3968283319,-369.171314828,2013-06-22T03:14:18
Jacks_in_hand,-24.3364607406,14.5468705964,-8.64336734144,89.1838222194,-34.550925143,-401.533133606,2013-06-22T03:14:18
Jacks_in_hand,-28.5881139762,13.8564426927,-6.26368030965,195.236285575,-72.1293452959,-400.19988068,2013-06-22T03:14:18
Jacks_in_hand,-7.19547381439,18.4708174798,-2.73073648488,162.18961739,-54.2806471455,-316.179456077,2013-06-22T03:14:18
Jacks_in_hand,30.1907338815,31.804874421,8.84822144018,-41.5197739833,-32.7405152016,-276.408138804,2013-06-22T03:14:18
Jacks_in_hand,71.809289224,50.6020528298,8.20088858179,-119.326205178,258.256938406,26.6216680355,2013-06-22T03:14:18
Jacks_in_hand,60.9818132447,46.1793627901,-5.80369446182,-36.3099549863,83.5840301567,256.154332971,2013-06-22T03:14:18
Jacks_in_hand,-11.4625397232,39.5356010672,-12.901454921,310.969497061,155.373061277,456.27371203,2013-06-22T03:14:18
Jacks_in_hand,-32.2198194962,23.5665752692,0.504727637482,157.774104997,98.0368333838,376.237172845,2013-06-22T03:14:18
Jacks_in_hand,-20.9317573651,13.1845698518,-10.2138145044,-181.046840782,372.701675685,246.861614719,2013-06-22T03:14:18
Jacks_in_hand,-20.545691909,12.8974152902,-21.3826144423,-188.482867732,346.571284374,267.901110872,2013-06-22T03:14:19
Jacks_in_hand,-21.1832977386,11.9214776694,-17.526453978,-149.881998996,238.186208963,298.024430772,2013-06-22T03:14:19
Jacks_in_hand,-17.5620671431,12.7518173172,-17.2785048339,-248.784094404,233.961026622,287.496459148,2013-06-22T03:14:19
Jacks_in_hand,-18.8476049661,15.9413425491,-19.5935481286,-286.289346156,213.83323778,303.12434178,2013-06-22T03:14:19
Jacks_in_hand,-24.9767606316,12.8818521026,-21.0562554131,-224.229236489,18.2783546152,341.332720526,2013-06-22T03:14:19
Jacks_in_hand,-42.3025511674,4.64011245499,-24.4720321173,30.1715581113,-23.4637727614,373.632002092,2013-06-22T03:14:19
Jacks_in_hand,-71.1377179964,-11.5978118247,-20.5685858779,435.26683686,-81.6803539822,402.209568221,2013-06-22T03:14:19
Jacks_in_hand,-79.8687723161,-11.3263695038,70.9373538295,-330.474987368,74.4381951222,-212.976021718,2013-06-22T03:14:19
